03CE3809,09RN3844,12 LM2566,96KK 4588,02 SO 3008,03 CE 368,11CN43,08 TN 7223,
04 MH 9431,12 MH7006,92 OY5955,01RN6375,03LM3374,90TS 4880,07 W 47,08G 4493,
96KY1744,00MO 1136,07 TN 7738,91W 6439,94CN 2003,94 DL 9663,94L 2110,02 D 4529,
06LH5581,00 L688,01LM 6331,94LH808,O9 LH9536,90 WW 2282,91 G 923,96W5741,
04 SO9782,92 TN499,10CN 4705,97TN2240,00 LM7240,10CW 9269,02MO 3945,91LK 7111,
07RN8007,05G 4747,03 LK2110,11 CE 81,01 KY 7358,07 CN3855,06 LS4731,92 LM 5171,
07G5236,03DL3467,92LK9952,10TS 374,96 L7775,92MN 4831,06 RN5537,00 CW 9313,
91OY 5331,04KE 7657,12WX7282,92 RN2911,05CW 2522,02TS 9591,90G 2148,08KE 9909,
00MN9842,95 SO9740,99 W 1711,05 MO2577,08 LD9554,97 KE 9329,03LM7977,00LM7865,
94 LD752,90 SO8636,00L4098,98C 4896,01 WX 9761,08 KE 6920,92LM 7026,01 DL6740,
07KK2355,07LS 1199,97 CW7801,98 LS 8140,91C 3644,95 MO480,94LD7771,96MN 1079,
98 SO9972,08WH 4276,12LK5832,92 CW 6901,00 SO4614,96 LS 8121,98 KK2530,00 DL7061,
07 WX5695,01 G4165,09WX1718,08 WH 4498,05 KK 350,09 MH 1914,96LM9408,09LH 4140,
10 MN 3843,93WH 2696,96 WW2407,96WX4105,93 MH6159,11KK 1534,97 LM 6371,06WD 8757,
09CN 1344,98 WD1719,01SO 4035,04 MN 987,11 KE6807,95 CN655,08 WH 9521,92WH3813,
10 KE 731,98LK252,07LD3858,98D717,03MH5722,94TS 1539,90 RN154,02 CW9984,
07MN 5942,97 MH1035,99 W 4191,97W 767,97 LK 3064,96CE5876,99CE 7653,96 WW7555,
91DL 3623,97 MH 5768,93 MH 6660,05 WX 5350,92RN6566,07 CE2349,11WD7812,00LS9871,
00 WD 5135,04CE 769,93 L7599,12DL 5902,09W1623,94SO 3953,95 LS 8627,01WD2056,
99 D6949,03 TN 7323,93 WX7899,02 TN2071,94L 9550,96 RN571,91LK8157,06KK1133,
90 LH9634,11 WH3484,96 D 3135,01TN 617,92LM5473,05WD4801,94CN1509,00 LK6170,
10 W8133,98 RN6565,93LD2299,08 MN2094,08W 9777,98 LD1570,99 SO 6515,94SO 9595,
01MN8507,05 LH 8110,98KY5950,02TN 7697,03WH 9588,96 LD 4505,06 CW184,95 TS 3293,
93LD 8872,06RN 5567,08 MI7098,92 LH1161,09 G 9200,10MH4614,03 L481,94 LH 5643,
00 CN4692,99RN7449,95D659,95 RN 3081,08G 913,97 G 9237,01 MN 526,93LK 8119,
99 LK 1144,01 LD1225,10 L9778,02KK7568,12KK 222,07MO1816,06CW4760,98CW 2572,
04KK 7743,96 W5708,92D 9865,00 LD3585,09 MN 1808,00L5462,11RN 9169,06CW2845,
04 TN 2931,95WH 2190,00 WX 3643,90 WH 5869,04 LM 5260,10RN 5852,09G 121,01OY6856,
02CE 8801,12KY1087,05 TN3042,03 G 2821,90 KY 1995,00DL 1435,04 SO8889,93 TN7759,
10 OY 8688,11D3349,07WX6252,97 G 1233,08WX7298,97WH1484,95 L1446,07SO5340,
03KY2788,10 KE8394,01LH 764,03C 258,92 KK 3958,03 W 4982,05TN5572,95TS1266,
03DL9521,95MN 2829,05 TN 5702,07CW9472,12 WW 6405,96 C 5859,06MH 9880,99 WX4328,
05 SO 2830,04 D 6702,02RN9293,10 D8456,06D6833,06 CW 2581,97LS1798,92CE4310,
93 L 8099,03LK 6559,11LM9764,10 KK 7731,10 CE7231,98L 2607,03 WD 4092,11 D 5604,
94TN 1909,95 CN7049,12 G516,05CN 3470,10 W3769,01KK4716,05 WW2017,02MO 4228,
06WD3294,02CE 5353,95 G 2868,02 LM 843,93 KE 2491,10WD4717,91 LS 5622,99L4353,
00 D6734,95 W 5170,94 MN 2224,94 G3398,96 TN 7763,92 G2538,05 LM4334,11 SO2998,
94CW 9539,08MH9544,10 LS 5940,94 RN8343,94KE 7408,94W1217,12 CW 3343,96 LK4002,
03 CN 8850,93L4274,91DL 3759,01MH120,04MH985,09WW796,97L 3891,11CN 4921,
94 G5930,00 LS 6158,11LD 4093,02LH7156,06LH 151,09 MN2624,09 LM 2019,04TS2978,
97 DL7963,94W 2858,97 RN2002,93KY 9175,04 W2559,11 G 2077,08 LK 2848,99 MO 8698,
96WW34,08OY3611,92D7170,94 KE4939,93SO3230,96 LM 206,06MH9964,10LS 8370,
93 MO 2497,09MH 2561,03MO 2714,90C 2825,93MH 9840,00 CW 7318,90L 1974,00 OY 8941,
98 LM1433,97 LM 8968,96 DL 8132,08TS9094,06CE889,99MN 4007,94CW807,99 KY1521,
10CE2373,95 CW1053,06W 2227,01 KY1265,06 RN 8158,04LD 7618,03WW8830,08DL 2079,
94 MO3,08C 2726,11LH 4306,01 KY6440,98 KK7454,08LD4687,06 LK 4350,93 TS513,
05 CN9025,04KY 4970,02LK 4496,05WH7006,03 KE4033,08 RN2333,11 LK 7563,90 WW1688,
96 KE3901,09KY6135,01KK6480,94WW 8553,98KB1679,10 LD 4131,04CN 1538,95 TS4589,
10 DL7630,07WX7883,05LD8487,04CW 7425,90LD 6881,92 WX8462,98 TS 5290,11 LH 8237,
00 LD2299,91MN 6071,96KY 848,05TS 7768,92L 2045,95 CW 9857,11KY8522,93 CE 5470,
07LM 6570,00MN 8305,01 CN933,06LD 467,92 MH4186,09KE 6327,96WX99,98L 8247,
92KK7822,93 LH 2435,92LH 8810,99 KY8845,09KK 8058,01 KY 8213,93 MN 4830,12 CE599,
05TS9122,11 MH 2743,08 MO9425,9SW 8523,01L 5151,00 LM6532,96 LD5633,04 WX7853,
96 WH3737,97CE3093,96WX9628,94SO 1303,99TS2512,97 CN1357,95 W 634,05 LS 3286,
91 KK 2375,06 CW8781,09KK876,11CE 5470,94MO 7827,11D3217,94WX7294,07WX 5797,
92TN 848,99MO 1366,93 WX 919,02 CN 7406,00 CN 9724,94 WH3033,95CW 8121,03 WD 4785,
04 OY8365,03 L3215,02LH307,07 LM1867,93CE 4717,03WD 8603,05 WH5035,92KK822,
95CE9129,03 LD1046,07MN2013,01 LH 836,99 MO4761,98TN 8131,90 KY1969,91CW3271,
05LH2453,11 WD 206,90 RN 5016,08C3323,98LS1856,94 TN3824,08LS 7760,00LH 8488,
01WD9081,04KE 3954,01OY5158,09MN 999,08 KE8628,93KY1043,10 MN 3918,98SO 4730,
98 W 3911,03OY4496,95 WX 9078,10 MO 7030,04WH6370,95WH 1045,07 WX4324,04KK 2401,
08LS 7814,90RN 5045,08KB 9577,98 RN 8026,02 C 4441,05LS7794,10 RN6447,10LH 778,
07DL3749,91 CW4646,11WH3201,02OY 1455,02 LD 7511,11MH1873,08 G6134,04 LH4846,
93WD4859,93LD 42,05OY 3379,01 WX 93419,07D9573,98CE 6981,02LK 552,00 LS8372,
11 D 4759,06WD 1320,10WH4937,90D4192,90WD 6168,08G 7054,05WD 6352,90CW1852,
02LM 2698,09LS 615,92 CW 8308,93RN 1361,03RN 8783,92 WH4485,91TN2624,00WW 6461,
94 CE 8791,10L 5607,91MH 4244,97 W2995,09 CN 7851,03L2468,99CE 704,03 MH7654,
05TN7033,09 WD2096,10WH 2371,09 LK 5700,11LH 3310,01 TN 6981,05 WH 5429,01WW 4527,
97LK6258,94MN2382,94WD9394,95C4955,00LH 4157,94 CW6394,98 WX 4877,98D3584,
10G 1776,99LS 8736,94MO5284,94LD 7596,01 LH954,96LD 9233,07 RN 8192,98C 8052,
08 LK 2856,05W 3704,11 WX8242,01 CW8857,06 L7712,01G 3088,09DL 3539,94MN 6358,
03 RN3759,90C 1500,00 LS 1800,93 MN 8820,92RN 2129,09 W184,04L781,09WX 5904,
08LS8522,11 CN 7259,01TN9837,06L5687,01 OY5587,10WW7627,00 DL5936,09KY 796,
93KK 2179,12TS 3398,03 MN 7867,95WD 5730,00WD6895,05KE 2821,08 LD 6987,11DL4621,
11 MO 3618,06G4837,91 MO 1391,00 LH 2318,96CN6190,01 CW7065,08 LD 3113,96TN1945,
98 WX7771,91OY 7358,07 MO 4650,03LD8903,94 LK7961,08 LM 2850,99 MN 1918,00 W4627,
00RN 7332,92D 5843,95TR 5596,98 LM 3344,05 D 4638,01 W 2854,01WH1722,06RN 1618,
03 D 6697,03 DL1643,98MO5396,96OY3442,08LM 4674,09KY1141,97W8483,02RN3346,
00MN3317,00DL 863,10 LM 3296,95 DL6094,99 CW1603,91KK9575,98LM 9434,93 MO4347,
06 CW 4173,98CN 7791,10MO160,11 RN4928,98 CN 2972,99SO4970,08LD7983,02CE246,
95LM 7548,97CN251,07MH 6507,11 WX3800,06DL636,95WH4948,95LK6963,08 G7753,
10CW2815,00LS 6117,04 OY3372,07G6058,97 G6326,07WH3057,01CN 9801,90TS 8781,
94 MN3411,04 TN 2770,12 CE 6791,08D1929,98TS 8965,98 LS 6126,09KE 1672,10TN 2328,
11 LH717,11CN 3734,08CE9264,00C8929,00 LM2653,92CW9375,94KK 5199,97LK261,
09WH9015,11 TN 9260,91LH3979,96L2682,93 L 6777,10 CE 7293,01SO7799,99 RN 5625,
93 CE 4248,10RN 122,11 G 147,07RN 8001,00LD 2202,90 TS772,97RN 208,02KY4624,
10 MH1736,09W 6354,07LS 250,00 WX2662,11MO9962,95 TS 3537,00WX 8279,08 D 5878,
95LH 588,05LD5236,11 LH2533,93 KY8708,97 WD1424,09 CN 3352,07 RN 2626,09 DL3134,
05TS 4975,09LM 5228,09 WW4555,07LH 8695,03 DL1350,92L6019,91 TS3159,97KY 16,
97WH4973,07TN5157,06 WX6118,02 KK6749,01 DL7812,00LS2681,01LS8116,91KK7983,
92 CW2162,97LD391,91CN 2401,98 RN 6822,03WH 5412,97LH 3432,98G 9627,11 LH 1107,
95WX 7686,96 MO265,11 WX611,04 LH3032,91KK725,03LK2749,08 G 408,01LH 3812,
99LD 2968,92 LK3515,96 CN5978,92 LK9456,92CN 1449,01LM 4741,07 W 8634,11 WH209,
09D5761,02 CW 975,05WD5413,99KE 9286,92 KK 3175,04CE 8739,09 LM 591,90 LK6146,
01LH6755,02OY 7305,98 LM 9643,02WX 5698,93CN243,04OY 8222,91CW3125,92MO7633,
08DL4414,95 W5994,11MO 7156,99 KE 9340,04CN9610,03 DL 8588,94DL527,93WH1741,
96 CW 8247,95OY4408,97 TN5756,97LH9821,92 TN9201,02WX 1789,10 CE2861,94 WW8631,
09LK3212,94 CE 8127,04KE 81,10 MN 1062,09KY4659,00MO8320,05CN 5347,05L5846,
97 TS 433,94 KE 6353,07MN5861,10 OY2920,97WD 963,05TN9595,10 CW 853,12 D 8481,
94 WD 1953,96CW2614,09 KY4280,95OY 3956,12KE7851,01 CW6184,07LH 60,11G 1383,
10CW 9685,98 LK 7547,06SO2227,90 G2718,06 MN489,97 G9949,97 KY6391,08LM2002,
92TN1287,92 LM 3014,01C 6780,09 CE7442,01LH9330,90 WH576,96 LD 5255,96WX5031,
96CN8122,10 KY 9291,92L4735,03 TN6543,96KE5629,05 KE9497,10WX 9681,03 TN2471,
98LH 3051,06LD 9621,09LM488,99LD4780,05 KE1524,97L6745,00LM 6919,05 LK 5237,
05CW 8180,95 WH 8848,95 WX8119,11 D 2473,07 KY6162,07 WD8703,05MO3075,09 LM 4965,
01TN 5341,95 LM 5429,96MH5972,95W 7668,11 WH 1801,12DL7300,05CE 5340,07MO7129,
98LK 4422,05 LK8548,09WX 4559,09OY 3626,97TN 6318,05TN3623,09CN 3908,12 KY9109,
98 LD 7304,01 WW4623,98 CN 1116,12 D6505,02OY 1107,07TN 1491,94 WD 8119,94LS9352,
02 G7567,03 LS 9926,11 L6621,04SO 644,97DL5768,12 OY8957,92DL3936,05LH6241,
09 WX 8659,01 WX8616,05OY 3604,06 KY 1311,11LM3568,91 WX8289,10KY 2286,05 G 7816,
96TN5753,90 KK7905,92 SO 5556,02G 7309,10KY4099,03MH7400,01 W376,10CE5988,
02TS 8944,11 SO 4633,11CN 1273,09 DL8317,98MO2081,09 OY 8259,99LM 515,09 WH1352,
09DL8021,07CW 17,11CW9942,02SO 4350,92WX 3764,11LM 281,02 CN 3545,99 WD 7263,
08 C1488,02LK 1813,08LM5305,11KK7222,06MO4868,00WX9205,00W6435,08 KE 4288,
09MO5026,95TN 5661,90 KY 9689,04 W6396,93WD6503,94LM4478,96 MO 6105,99OY 8670,
94MH 7113,99TN 9872,10LD1279,11WD 4102,01 CN8021,05 MN 625,05SO 4060,00 OY943,
00W 1974,01 LD 405,97 TN382,93KY 7101,08RN 8245,98L 646,01 KY8902,95W3324,
93 D2564,00DL5297,95DL 3071,06CN 4994,08OY 9014,95CE 1935,94MH 6293,00RN7021,
11 CE8790,12MO 317,90WX 2982,99WX7434,91MH7492,11CW 7710,10 MO 8418,06SO3086,
93 WX 8654,00 LS 70,04CE 4605,05 WH5146,95LS6193,01W 9500,99 DL 7560,05SO 2939,
90WH 2512,93CW1346,94KE3885,01 RN2127,10KK2163,09MH 8662,04 W812,08TS 7214,
09CN 3155,96 TN7942,92KE4457,05 KY 8914,03 D9247,91 RN 7448,09 CE5527,10 W4046,
95KE 6901,05 SO 8737,11MN 323,11 LH9293,03KY9932,00 CN2643,06 CN 7568,99SO 426,
96TN 3392,92 OY 3252,07WX8310,99 DB5347,07 WD 5650,95SO7259,95KY6923,11DL2777,
10 TS 4293,91 CW 1488,91 DL6117,93 TN 8208,97 LK 7039,97KK8311,05WX 7755,11LM5371,
98TS 3588,93 TS7262,99 W 4264,09 MH 4417,05 MN 8081,92LM 1168,97OY 2471,95 KK 7709,
05 WH4669,07G6835,08MH2790,98SO 250,02C 565,08OY 3503,04 W 1865,09 WH4530,
98G 1916,95 WX7055,06 G5987,10LD 8918,97 WD 7825,10 L4336,94TN5910,98 DL 4535,
07 WH 6951,91WW9798,05 KY 1021,10 KK 8008,08 CE 9198,02MO6184,05TS2275,91LS 6513,
91 DL 2286,92DL1960,96 RN8732,97 OY7041,95WH9145,98CN 824,05MN2127,07KK 3949,
08LD 7526,90 KY 2742,97WD7459,02WD7558,11TS 7474,00G 1682,95KK 5299,09 DL1785,
93 LS5861,04LM 2514,06C 3194,91 SO 590,02KE9631,98 LS 8345,97LH 9386,12W 1449,
10CN 1002,99 MO 9989,06WD1885,96 WX 8898,96 LK 8481,93 CN 1218,10LS 9846,08KY 2791,
07CW 7295,09CE6976,93MH2225,06 RN3886,07TN1533,90C6816,98 MH 665,10MH4053,
09D8178,09DL 2476,11 TS9722,10WX9542,03 WD60,97 LK 6721,08C 7675,03 KK 3512,
01 KY 698,94CE 365,09 LS5398,99 WX 8316,10LD 9055,04 C5689,07D9079,91OY8927,
02 G 6257,11 OY7434,94 CW4907,09 WW6293,01MN 9464,08LK6933,94 CE258,98 SO3422,
91MN326,99 W 1043,07TS 6423,01CE 7563,03MO 6647,94 LD 5078,94 CW 2428,96 WX 8932,
00TS 6267,90WW8125,99LK 8099,04 MH165,05G 1509,09MO 9802,96KE 7234,06G865,
97W1008,00TN9842,95 LH8415,91L8482,10 LK3252,92CW5671,02 LH 1823,92MH78,
01 LK2727,99WW 8601,03WX5256,92 WX9478,90 MH 5185,01 TN6168,94 W1484,00LH 841,
09MO3281,08 MN 6724,92MH2014,97 LS2656,07RN7545,08 KY2436,94 WH 9431,12MH5891,
11KK526,08G8515,12 TS1552,92WX6115,91 MN 3764,06RN9730,04 LK 5782,07 WH 2216,
92WX 8270,91DL9980,08D 1350,00 KK3606,04 LM9141,12D7105,97SO 314,00 DL 3712,
12DL 4032,11CE 2968,04LH 5643,97 TN9940,96 CE 3361,95 OY 8315,05KY6068,93MH9334,
07LH 7287,99 LM2973,97 MH2875,99KE4670,05 D 785,90 RN 4468,02 RN 3366,97 D7884,
10 TN 3437,92MH2385,98 WX9299,95 WH6385,00KE 4994,00 MN1421,01 WX 6314,11 D3054,
12 LD1150,91L3411,90 C2031,01 CE2545,91 WD6506,99 MO7429,04 LK6362,93 L 4875,
92LS 3309,95 WD 7450,98 WD7376,93W2198,93 RN 5107,10TN9059,01MN 9992,00 WW6190,
07 WX 4236,01RN 174,03TS2773,05 KY 1492,07 TS770,97LD5873,93CN101,02SO5297,
92RN 8393,91 KY 4060,04 LM3137,05LH 4352,90 DL9570,03WD6885,07 WD 3146,10MO 8375,
98MN 8268,12G2661,93TS4954,95LS 3204,98TN3583,96 LH 4313,95 W 6645,00SO7855,
02CE1622,97TN3329,07 LH 3935,05RN 7129,00G 6163,00 RN 2613,98CE 4061,01 LS5335,
92 W 809,02 L 7694,04D 4545,93 WD 7341,00W 6595,06LM 3324,01MH6681,91LM 203,
93 LK9356,00 CW 1628,08 LS2242,07 CE2355,12DL529,11TN 8720,08OY4539,10MN7575,
93 MN 3499,98LM8950,96 OY1722,95MO7732,11 L5162,08 CN 9773,02LS 957,05WW1707,
92 TS8865,93 W 5665,10 CN7027,99 RN 7805,11W 608,97TS 6450,93CW 7773,03 KY 3482,
05 KK5013,04 WX3936,04CW 1793,98 LK9229,08 WX1395,95 D834,95 L 838,02 TN 3138,
92KE3011,96 OY 7607,09CN494,90 WH 57707,12WD 4546,11 KY 6090,09G 7826,97KE1842,
06 C 3745,91 L 3497,96 WD 3982,07SO240,08W 3181,11RN 6785,04 SO2961,11 SO 8263,
05 MH7178,93 G5232,11MH5157,99CW 7819,05WX 7082,12 RN8548,10 LS 5703,90WW 8767,
92 KE5218,95 W 8877,05G3069,07 MH5911,10LM 4184,98 WD7613,95 RN2983,12LK 2364,
06TS3424,99WH 2129,12WD 6288,08 WH 7629,92KY 9409,03 LM 3217,96CE7038,96WX 4046,
93 MO9223,94WD 1307,97LH8866,92G6991,00 WX9820,95 WX 8388,09MO3442,06 L2657,
92C 6849,91 CN2934,00WH4691,96KK2116,09 LH 7513,90RN 7120,97MO6372,04L1897,
91 G 1684,08 CW 9130,05G8567,00LK9340,98KE 4210,01LD8437,06D 712,90OY 5638,
02OY 9206,02MH8604,97RN4850,09 CW 623,00 D 3989,00L 363,04 W3035,01DL 1141,
95WH6246,91CN7480,97 L6930,00 LS 9118,09MN 3103,09CE9304,90TS 6059,92 LD 6336,
93 RN4726,92 KY 6733,97 WD3417,07 KE 320,96 LD8329,11 LM2851,08 CE 3631,93WD9788,
01 MO598,99MN5482,10WX9317,01 L8627,10 WX 7791,04 G 6501,94LD5808,98MH 4480,
00 DL 3170,99LD 1901,99TS3050,10 CW1754,94WD702,08LD7319,07 KE6126,00 WH 9044,
95CE2508,06DL 6005,07MO 2594,95 KK 7823,11RN4983,96LK45,96 CN5598,00TS 2584,
99CN5119,95 KK1071,98 WD6613,04 L 2569,05G 4184,91 LH 3635,99MH 535,91G 1714,
01 KK 605,08G 2948,97 CW8865,11MH 6491,04 LM7667,97 TS 8785,00CW3747,91LD941,
98 LK4480,00LD9016,05KK6715,05 KK4384,95W493,99 CN9395,09 WD1206,10 MN 40,
06 TN4864,94WH1061,10 KE 7079,04CE2083,96MN1947,95 LS 3523,94OY8719,05CN 4536,
10L3218,11 MN8794,04CN 5611,02 LK7842,11RN4176,05 LH 1814,03D 5718,98 TS 7940,
93 KK 1843,97 LH3318,91L 7468,09 KE 8217,11 LK 4846,07 CW3915,96 G5691,90WD6868,
01 W 3323,98 TN 2252,90WH 448,06TN 819,08 LM295,11DL5896,95KY 5370,01RN 2666,
05 KE9618,99 L 813,93KK 3851,92LK 8851,05G 8106,95 KY 4167,96 LH 7215,10 MO5693,
00 KY 994,12 MO 5578,11 RN8862,96CE4793,91 SO570,92 WD3908,02 LM 2275,01KY 874,
06RN 7476,05 KK209,07WH 8783,00CN3110,94 CW 2945,99TN 2522,96KE2997,91 CE5673,
95LK8056,93 LH4886,95 CE9936,97TS4389,10KK3009,97KY 1120,92 CW 8054,01 DL 4109,
02KE 5304,01 MH3714,97RN 6557,99TN 5773,00 W 798,92CN 9528,11LS3759,06TN 2946,
11 TS 5606,00WD 6847,95 RN5498,97 TN5074,11 W16,91 G 2858,02MN9134,93LM8704,
96 LH7727,92 G 6609,98D9058,09 LK 8448,96 SO5039,07LK 106,02G 4217,06 MH6604,
12 WH4873,99 L9348,11 WX 6773,00LK 4028,12 CN 9967,06WW 7832,98 WW 3650,98MO 5094,
96LD7965,03G 7302,90WH 9466,04OY6379,11D8672,03 MH 4395,08 WD155,96 LK 2089,
92 TS 318,95SO7204,03MH1397,04 KY 9170,93 KE 7274,08 WH 2759,04 MN 4937,02CN1543,
92CE6411,91 LK4930,94LD8816,11 TN5943,10 LK 3007,91 L 2396,97 G4599,10LK1505,
06LM9954,06 TS 7895,95 CN 5765,95 LH 1357,94OY 5910,98 MH3266,02LD 6639,04DL7282,
06 CN 8944,08MN 9498,94 C407,94TS 7796,07 KE2297,11 RN 7401,06 WH 8095,00MN5837,
92MN 7896,05LK2353,05LD7749,07KE 4731,01 CN 1431,09 WW6097,07 TS4411,96KY70,
11CE 9966,01 MO9555,07G 7052,94 WX691,01 LK9375,05DL3212,94CN 8090,96 CE4092,
96OY 4133,03D5780,00 C 4751,06 G258,00CN6452,92 WD 7595,03D9219,93L 3157,
12WH5162,10MN2411,07WD6207,03MO 953,12G 7246,04 MO 143,05G2410,93 MN 4346,
93G 6527,94 LH 3515,00KK 2122,05L 7396,04 WX4621,08G3484,01 LH 7252,05D6672,
92 MO8991,92MN 1888,10 SO7916,95L2627,10 TN1668,98CN 4824,08KK1840,94MN 1714,
93G 47,94 LH 6929,95 KE 6917,98 MN 8960,96WD8053,99SO 4930,97 MH 1428,99CN 8420,
02LS 1902,96 LK8623,97 WH 639,96DL 3281,11MH 9700,05 WW 8782,99LK 6814,04WW8226,
95CW8216,07RN 4365,08WD2020,03KE4128,93OY3250,06 D5897,10 OY 9499,90 LS9092,
04KE2275,99LD 7897,07 LS 9906,95TN 482,11W 9245,02DL 818,95 KE3197,06LS9624,
01 LS1800,05WD 2117,07MO 5605,07DL4619,97LS 493,08WH 6796,11 SO3772,93L6888,
90 D 8092,96CW 7,04 MN4848,96 KY3925,10 LS 4541,98DL 8166,10CE 2170,02LS4065,
03G9705,92 RN447,01L957,10 WW9041,02 D1713,95 CN 9412,93 KE 7410,92 TS 6564,
05MO3333,91LM 8174,97 CN7555,09 TS8238,05SO2656,97 WX1453,08OY 9218,93WD 7746,
01 KY7121,04WD9637,99 MH1637,99 DL393,01 WX1838,97KK 8129,11WD 2355,01 TN7877,
08 D 4093,09LH9006,91RN304,09 KK1445,99TN5944,06 KK 8432,98 LH 7226,99 KE2441,
07CW 5875,12KE1097,11 KK 7010,08 D 1734,98 MO 8615,97 G 2442,96WX3839,94TN8459,
01 G 9436,05 SO474,95LH 5624,97 LK4085,92 L5480,06KY1523,09G8664,99 LD9943,
08 KY 2020,96 WX8480,95 WW3117,09 W5024,96 LK 5913,93 D5754,91KE6502,10LS 6098,
98 CE 1971,98CN 2449,02 LM4229,93 KK 4019,97 L 479,04 WH 4122,92C 1884,94G 8440,
97 LH 5653,06 SO 3873,97 G 3896,08 CE8116,91LH5495,95 LH5470,01LD7113,99 LS5431,
03LD 3149,04MO 4767,05KK5787,03 WD 1870,98 CN8675,94 LD721,98 LM6507,90MH 5782,
96MO 7947,03KE 4000,97D7759,90MH4923,08WH 209087,08WH9373,01 WH 8888,06 KE 4054,
97 LK 8293,98 LD7838,02 LD7548,94 LH2154,08 WD2701,98LS5794,95G 2933,08 WH4679,
11MN426,07RN 1476,98CW4524,90 L3742,08KY 8041,02TS 3292,03LD2414,98OY 3051,
03MN 6358,03TN790,01TN 5824,11LK 5057,09 LK7420,92DL 6497,11LH927,94 SO4805,
12 LS1450,96 DL6096,09WW 7690,12 MO 8744,95W 8673,99G5056,08 LH 8166,04 CW 6926,
95 TS 9404,96 LS2153,08LS5320,08 CN 3886,07WH3252,01MO4133,91 W2320,02 MN 6818,
95TS 4943,97 MH1170,92 KY7070,92SO9634,01 RN 9816,06TS9744,05CW 5645,03 D 7959,
92D6810,96 C 8088,10 LH1311,92 KY 3181,05KY466,93 WX 9422,95 KK2816,92 KE 3295,
03MN6333,11 D9883,08 LK6771,08DL4466,97 LH 6040,91RN1220,99W4091,90 RN 9971,
96MN 9207,04 WD3147,96W 9680,05CE 2489,98OY 9451,09 C6559,91MH7887,01 G 1579,
99 KY729,07MN6712,97MH 3534,95CN 624,08WX 8477,03LS 4949,10TS 9819,12 TS6502,
04LH7141,07CE8573,92 DL 9804,09MH 805,94 CW 1973,11D1050,93 SO7783,03MH 3542,
05 KK8317,09W8865,02 LK412,02DL8973,98WD 5938,06 OY7120,04W 5148,97 MO8410,
99 MO 9454,96 WD 3148,01 OY 5283,93MN6675,12 W 8392,94 CW6346,09 OY6632,93CE 7263,
07MO1989,08G2773,01 LD 811,96 KY6171,03RN4495,96CN 5043,92 TN 3929,08LM 5875,
12OY6410,93 DL 1566,11 TS 7535,05LK 8968,01 L5868,93LH4271,08 OY 652,11DL 5614,
05 C 2194,92 LM 610,11 LM7878,06WH 138,10 G550,97RN3838,99 LM 8680,99DL9824,
04 WD 2524,06W 5357,99WH 7233,92G 3305,96 CN2539,96 MN4225,10LD 457,02L6771,
03LS4017,98 LH 1860,92MO4246,98 LK 3701,05 MN 2375,98RN 4419,05L 4324,02LS7767,
96 MH 4135,03 LM 1346,07W 8597,91 KK9152,95 LM2679,00 D6185,05KY 2466,91 KE 1624,
07LS1487,00 MN4921,07LD7116,91RN 1395,11 WD 5134,06 MH 7761,94TS 3517,02 CE 9045,
07G6704,96DL2646,10 WX 1535,98 TN 2589,00WH7823,95 TS2500,05WX4418,00 LS3117,
96 SO4105,10LM3743,05 LK3710,03CE4430,05LS 4378,97LS 460,02 KK8591,94 TN 4501,
93DL6824,93 DL7200,93CW6636,06MN 9724,94 CW 8886,97 RN 3457,96 W 9985,02TS 2492,
96LK 609,98 MO 4515,10C 2060,92MH8824,95 CN3010,05 KE6576,00 TS5095,03 TN 5550,
07 LM 3980,12 SO8854,93RN 8022,08 CW 5794,91CW 4238,94L1659,11KY7485,07 CE 7449,
09LK4952,98KK7378,07KK 2157,94 DL1700,93 LK6742,94 SO775,96 LM1930,08 CN 7678,
97 LH 7009,10 SO 5975,97CW9039,97DL 4902,12W 8769,01 OY175,97WX 7698,08CE7221,
91 KK 9520,96KY8192,02WD 2448,03MH736,98WH3016,92LK7748,94 MO 3094,12 CE3349,
00 LH313,07 OY 2597,06 WH 5808,00MH 5449,06SO8932,11D 9484,05 WD 5786,98 KE9564,
00 LM 570,02 CE5329,08 G6687,99 WX 1803,93 LH 8404,95LM2935,09 WH6027,99 SO 9321,
91 LM4777,02 KK7121,00LK 3625,06 KY 6202,95 KK8750,11 MO8215,91 SO 2311,99 C4660,
94KK 889,08 WX 6513,09 L6138,04CW9740,01KK 9488,02LD9516,02 LS 1555,03 KY 3386,
97LD 8426,95 KE3549,98 MN1215,10 DL 8048,94 KY 1811,97MH2664,98 MH 8359,09 W 930,
96 KY4693,04 CW695,94 LM 2120,02 SO7317,08TN 2216,00LS6714,01 LK 437,08 DL 5514,
99 SO 1806,09KY246,02LD7831,11LH6397,03RN4237,95OY 108,98CW9760,00 LD 7769,
97 SO9742,91 WW9969,01 LM 3921,07LM7338,09LD 4727,94LD 4371,99SO1514,03OY8421,
01 D 3087,93WX 1257,07 CE 8217,91MO9258,08 L3626,93 CE 904,09KK5412,92 CE194,
07 LS 1686,00W 6529,03TS7048,94 DL2933,94MH8668,06TS8820,11 MN 6457,94KY 2546,
92 KY 7898,05 CW 5157,95 W407,04WX 5974,90WX81710,07WD4386,93 C 4708,07MN 395,
01WH 5634,09 WX 9659,11 CE 6837,92 DL 993,94 KE3971,01KE5045,09MN 6124,97 LD 436,
